Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
refrigerator_close,0.7850660085678101,"[647.0, 2.0, 793.0, 168.0]","[125.0, -469.0, 1542.0]","(0, 0)","[116.0, -285.0, 720.0]","[1.0, -365.0, 1713.0]","[280.0, -370.0, 1736.0]"
10ML_centrifuge_tube,0.7225264310836792,"[846.0, 484.0, 864.0, 501.0]","[260.0, 162.0, 1133.0]","[250.0, 153.0, 1142.0]","[273.0, 153.0, 1140.0]","[249.0, 174.0, 1137.0]","[271.0, 174.0, 1134.0]"
10ML_sorting_tube_rack,0.5769954323768616,"[303.0, 248.0, 403.0, 411.0]","[-453.0, -51.0, 1406.0]","[-1014.0, -336.0, 2686.0]","[-438.0, -204.0, 1636.0]","[-507.0, 73.0, 1343.0]","[-387.0, 78.0, 1448.0]"
blood_tube,0.443510502576828,"[832.0, 528.0, 849.0, 547.0]","[231.0, 209.0, 1087.0]","[229.0, 205.0, 1122.0]","[248.0, 204.0, 1114.0]","[226.0, 225.0, 1107.0]","[243.0, 223.0, 1093.0]"
blood_tube,0.39891332387924194,"[736.0, 518.0, 750.0, 535.0]","[130.0, 222.0, 1228.0]","[123.0, 214.0, 1248.0]","[142.0, 214.0, 1249.0]","[121.0, 235.0, 1234.0]","[140.0, 234.0, 1227.0]"
5ML_sorting_tube_rack,0.33685681223869324,"[248.0, 407.0, 380.0, 582.0]","[-464.0, 185.0, 1270.0]","[-1067.0, 121.0, 2436.0]","[-423.0, 72.0, 1446.0]","(0, 0)","[-377.0, 312.0, 1287.0]"
10ML_centrifuge_tube,0.3293023109436035,"[582.0, 266.0, 599.0, 283.0]","[-91.0, -142.0, 1475.0]","[-109.0, -162.0, 1539.0]","[-80.0, -162.0, 1539.0]","[-103.0, -126.0, 1460.0]","[-76.0, -126.0, 1456.0]"
10ML_sorting_tube_rack,0.29679346084594727,"[253.0, 407.0, 380.0, 579.0]","[-462.0, 183.0, 1271.0]","[-1053.0, 121.0, 2436.0]","[-423.0, 72.0, 1446.0]","[-537.0, 297.0, 1243.0]","[-378.0, 308.0, 1292.0]"
5ML_sorting_tube_rack,0.2947418987751007,"[332.0, 0.0, 554.0, 174.0]","[-380.0, -514.0, 1701.0]","(0, 0)","[-326.0, -1276.0, 3210.0]","[-1002.0, -598.0, 2900.0]","[-175.0, -355.0, 1721.0]"
blood_tube,0.2538738250732422,"[317.0, 531.0, 338.0, 553.0]","[-426.0, 241.0, 1214.0]","[-447.0, 230.0, 1236.0]","[-424.0, 233.0, 1252.0]","[-445.0, 258.0, 1228.0]","[-418.0, 259.0, 1234.0]"
blood_tube,0.2532476782798767,"[750.0, 299.0, 764.0, 316.0]","[174.0, -86.0, 1434.0]","[165.0, -100.0, 1448.0]","[186.0, -99.0, 1440.0]","[166.0, -73.0, 1454.0]","[185.0, -72.0, 1434.0]"
5ML_sorting_tube_rack,0.8523362278938293,"[572.0, 267.0, 646.0, 389.0]","[-58.0, -52.0, 1416.0]","(0, 0)","[-1.0, -166.0, 1592.0]","[-122.0, 45.0, 1497.0]","[-1.0, 43.0, 1450.0]"
centrifuge_close,0.8328152298927307,"[839.0, 25.0, 1008.0, 185.0]","[476.0, -442.0, 1565.0]","[592.0, -1035.0, 2796.0]","(0, 0)","[363.0, -333.0, 1715.0]","[490.0, -240.0, 1234.0]"
10ML_centrifuge_tube,0.7904295325279236,"[754.0, 560.0, 772.0, 577.0]","[156.0, 276.0, 1218.0]","[144.0, 266.0, 1221.0]","[172.0, 272.0, 1248.0]","[143.0, 286.0, 1211.0]","[169.0, 289.0, 1222.0]"
refrigerator_close,0.7590967416763306,"[647.0, 3.0, 793.0, 168.0]","[126.0, -475.0, 1563.0]","(0, 0)","[116.0, -285.0, 723.0]","[1.0, -365.0, 1715.0]","[279.0, -368.0, 1730.0]"
10ML_centrifuge_tube,0.7221442461013794,"[845.0, 484.0, 864.0, 501.0]","[259.0, 163.0, 1137.0]","[250.0, 154.0, 1146.0]","[273.0, 153.0, 1142.0]","[247.0, 173.0, 1133.0]","[271.0, 174.0, 1134.0]"
blood_tube,0.41930100321769714,"[832.0, 528.0, 849.0, 547.0]","[232.0, 210.0, 1092.0]","[228.0, 204.0, 1119.0]","[248.0, 203.0, 1113.0]","[226.0, 226.0, 1108.0]","[244.0, 224.0, 1098.0]"
10ML_sorting_tube_rack,0.38099294900894165,"[253.0, 407.0, 380.0, 579.0]","[-461.0, 183.0, 1270.0]","[-1039.0, 120.0, 2402.0]","[-423.0, 72.0, 1444.0]","(0, 0)","[-381.0, 311.0, 1302.0]"
blood_tube,0.3775274455547333,"[736.0, 518.0, 751.0, 535.0]","[130.0, 222.0, 1228.0]","[123.0, 214.0, 1245.0]","[144.0, 215.0, 1251.0]","[122.0, 235.0, 1236.0]","[141.0, 233.0, 1225.0]"
10ML_sorting_tube_rack,0.35283422470092773,"[303.0, 248.0, 402.0, 410.0]","[-452.0, -50.0, 1398.0]","[-990.0, -328.0, 2624.0]","[-435.0, -202.0, 1618.0]","[-515.0, 72.0, 1365.0]","[-390.0, 77.0, 1452.0]"
blood_tube,0.3154403865337372,"[862.0, 651.0, 983.0, 714.0]","[319.0, 371.0, 1054.0]","[292.0, 391.0, 1231.0]","[391.0, 336.0, 1058.0]","[248.0, 405.0, 1045.0]","[416.0, 435.0, 1124.0]"
dispensing_tube_rack,0.28810423612594604,"[704.0, 501.0, 822.0, 616.0]","[156.0, 263.0, 1218.0]","[87.0, 210.0, 1374.0]","[224.0, 178.0, 1163.0]","[81.0, 357.0, 1277.0]","[241.0, 350.0, 1251.0]"
10ML_centrifuge_tube,0.27285119891166687,"[583.0, 266.0, 599.0, 282.0]","[-89.0, -142.0, 1469.0]","[-107.0, -162.0, 1537.0]","[-80.0, -161.0, 1533.0]","[-102.0, -128.0, 1462.0]","[-76.0, -128.0, 1458.0]"
centrifuge_close,0.8624968528747559,"[838.0, 25.0, 1008.0, 185.0]","[479.0, -444.0, 1575.0]","[674.0, -1184.0, 3200.0]","(0, 0)","[361.0, -333.0, 1713.0]","[492.0, -241.0, 1239.0]"
5ML_sorting_tube_rack,0.8561193346977234,"[572.0, 267.0, 646.0, 389.0]","[-58.0, -53.0, 1420.0]","(0, 0)","[-1.0, -166.0, 1592.0]","[-123.0, 45.0, 1499.0]","[-1.0, 44.0, 1452.0]"
10ML_centrifuge_tube,0.8251630663871765,"[754.0, 560.0, 772.0, 577.0]","[156.0, 276.0, 1218.0]","[144.0, 266.0, 1219.0]","[173.0, 273.0, 1251.0]","[143.0, 286.0, 1211.0]","[169.0, 290.0, 1227.0]"
refrigerator_close,0.7835203409194946,"[646.0, 0.0, 793.0, 168.0]","[123.0, -470.0, 1539.0]","(0, 0)","[116.0, -286.0, 720.0]","[-1.0, -366.0, 1721.0]","[276.0, -365.0, 1713.0]"
10ML_centrifuge_tube,0.7329673767089844,"[846.0, 484.0, 864.0, 501.0]","[260.0, 162.0, 1135.0]","[251.0, 154.0, 1144.0]","[273.0, 153.0, 1140.0]","[249.0, 174.0, 1134.0]","[271.0, 174.0, 1134.0]"
10ML_sorting_tube_rack,0.495405375957489,"[253.0, 407.0, 380.0, 574.0]","[-462.0, 179.0, 1271.0]","[-1014.0, 117.0, 2346.0]","[-424.0, 72.0, 1448.0]","(0, 0)","[-382.0, 304.0, 1305.0]"
blood_tube,0.4771787226200104,"[832.0, 528.0, 849.0, 547.0]","[231.0, 210.0, 1088.0]","[228.0, 204.0, 1119.0]","[247.0, 203.0, 1109.0]","[225.0, 224.0, 1102.0]","[244.0, 223.0, 1095.0]"
10ML_sorting_tube_rack,0.4703286588191986,"[302.0, 248.0, 402.0, 411.0]","[-453.0, -50.0, 1400.0]","[-1014.0, -335.0, 2679.0]","[-433.0, -201.0, 1612.0]","[-507.0, 73.0, 1339.0]","[-388.0, 78.0, 1446.0]"
blood_tube,0.4203299880027771,"[736.0, 518.0, 751.0, 535.0]","[130.0, 222.0, 1228.0]","[123.0, 214.0, 1246.0]","[144.0, 214.0, 1249.0]","[121.0, 235.0, 1234.0]","[141.0, 234.0, 1227.0]"
10ML_sorting_tube_rack,0.30479735136032104,"[738.0, 270.0, 804.0, 371.0]","[196.0, -65.0, 1428.0]","[160.0, -160.0, 1590.0]","[274.0, -159.0, 1580.0]","[149.0, 15.0, 1481.0]","[256.0, 15.0, 1477.0]"
