Class,Confidence,Center 3D Coordinates
dispensing_tube_rack,0.7740342617034912,"[-151.0, 93.0, 1142.0]"
10ML_centrifuge_tube,0.6761343479156494,"[-500.0, -191.0, 1406.0]"
dispensing_tube_rack,0.6257642507553101,"[-71.0, 111.0, 1035.0]"
10ML_centrifuge_tube,0.6106144785881042,"[-43.0, 57.0, 1054.0]"
blood_tube,0.5835208892822266,"[92.0, 119.0, 1132.0]"
10ML_sorting_tube_rack,0.43815192580223083,"[-222.0, -84.0, 1277.0]"
10ML_centrifuge_tube,0.3789186179637909,"[95.0, 255.0, 964.0]"
10ML_centrifuge_tube,0.3306026756763458,"[-584.0, -100.0, 1338.0]"
tube_rack_storage_cabinet,0.2839107811450958,"[-378.0, 51.0, 646.0]"
refrigerator_close,0.9573167562484741,"[23.0, -439.0, 1561.0]"
centrifuge_close,0.9132677316665649,"[318.0, -217.0, 1259.0]"
blood_tube,0.8115376234054565,"[232.0, 194.0, 1038.0]"
dispensing_tube_rack,0.7643320560455322,"[-151.0, 93.0, 1144.0]"
10ML_centrifuge_tube,0.6954566240310669,"[-499.0, -191.0, 1404.0]"
10ML_centrifuge_tube,0.6049904823303223,"[-43.0, 57.0, 1049.0]"
blood_tube,0.5733541250228882,"[92.0, 120.0, 1142.0]"
dispensing_tube_rack,0.538118839263916,"[-69.0, 110.0, 1036.0]"
10ML_centrifuge_tube,0.4126112461090088,"[95.0, 254.0, 966.0]"
10ML_centrifuge_tube,0.37845125794410706,"[-581.0, -98.0, 1334.0]"
10ML_sorting_tube_rack,0.26816585659980774,"[-224.0, -85.0, 1289.0]"
tube_rack_storage_cabinet,0.26281237602233887,"[-370.0, 50.0, 632.0]"
refrigerator_close,0.9520578980445862,"[23.0, -439.0, 1563.0]"
centrifuge_close,0.9090854525566101,"[317.0, -216.0, 1257.0]"
blood_tube,0.8391470909118652,"[233.0, 196.0, 1042.0]"
dispensing_tube_rack,0.7712072134017944,"[-150.0, 93.0, 1135.0]"
10ML_centrifuge_tube,0.7017560005187988,"[-500.0, -191.0, 1408.0]"
10ML_centrifuge_tube,0.5879072546958923,"[-43.0, 57.0, 1049.0]"
blood_tube,0.5497767925262451,"[91.0, 117.0, 1130.0]"
dispensing_tube_rack,0.4617628753185272,"[-71.0, 110.0, 1035.0]"
10ML_centrifuge_tube,0.37814417481422424,"[95.0, 253.0, 957.0]"
10ML_centrifuge_tube,0.37230977416038513,"[-580.0, -98.0, 1332.0]"
tube_rack_storage_cabinet,0.3660849630832672,"[-376.0, 50.0, 642.0]"
refrigerator_close,0.9542008638381958,"[23.0, -435.0, 1549.0]"
centrifuge_close,0.9139758348464966,"[318.0, -217.0, 1259.0]"
blood_tube,0.8214249014854431,"[233.0, 196.0, 1040.0]"
dispensing_tube_rack,0.7498573660850525,"[-151.0, 93.0, 1144.0]"
10ML_centrifuge_tube,0.6968569755554199,"[-496.0, -190.0, 1396.0]"
10ML_centrifuge_tube,0.6124704480171204,"[-43.0, 57.0, 1049.0]"
dispensing_tube_rack,0.5830512642860413,"[-72.0, 111.0, 1038.0]"
blood_tube,0.5545769333839417,"[92.0, 119.0, 1135.0]"
10ML_centrifuge_tube,0.43103235960006714,"[96.0, 253.0, 961.0]"
10ML_centrifuge_tube,0.40168800950050354,"[-580.0, -99.0, 1332.0]"
10ML_sorting_tube_rack,0.3843602240085602,"[-221.0, -82.0, 1271.0]"
tube_rack_storage_cabinet,0.37108486890792847,"[-378.0, 51.0, 646.0]"
refrigerator_close,0.9558677077293396,"[24.0, -456.0, 1623.0]"
centrifuge_close,0.9147469997406006,"[317.0, -216.0, 1263.0]"
blood_tube,0.8352628946304321,"[232.0, 194.0, 1037.0]"
dispensing_tube_rack,0.8012980818748474,"[-150.0, 93.0, 1142.0]"
10ML_centrifuge_tube,0.6845449805259705,"[-496.0, -190.0, 1396.0]"
10ML_centrifuge_tube,0.651336669921875,"[-43.0, 57.0, 1048.0]"
blood_tube,0.6367670297622681,"[92.0, 119.0, 1132.0]"
10ML_sorting_tube_rack,0.467301607131958,"[-223.0, -83.0, 1282.0]"
10ML_centrifuge_tube,0.40345922112464905,"[95.0, 255.0, 966.0]"
10ML_centrifuge_tube,0.3875153362751007,"[-584.0, -99.0, 1336.0]"
tube_rack_storage_cabinet,0.32970157265663147,"[-375.0, 50.0, 641.0]"
dispensing_tube_rack,0.27864786982536316,"[-69.0, 109.0, 1032.0]"
refrigerator_close,0.9555080533027649,"[0.0, -0.0, 0.0]"
centrifuge_close,0.9130323529243469,"[318.0, -217.0, 1260.0]"
blood_tube,0.8323914408683777,"[232.0, 195.0, 1035.0]"
dispensing_tube_rack,0.7643955945968628,"[-152.0, 94.0, 1146.0]"
10ML_centrifuge_tube,0.6836035251617432,"[-499.0, -191.0, 1404.0]"
blood_tube,0.6305298209190369,"[91.0, 118.0, 1129.0]"
10ML_centrifuge_tube,0.6290512084960938,"[-43.0, 57.0, 1052.0]"
10ML_centrifuge_tube,0.40462228655815125,"[95.0, 254.0, 965.0]"
10ML_centrifuge_tube,0.3962751030921936,"[-581.0, -98.0, 1334.0]"
dispensing_tube_rack,0.33272799849510193,"[-71.0, 111.0, 1040.0]"
tube_rack_storage_cabinet,0.29301396012306213,"[-368.0, 51.0, 628.0]"
10ML_sorting_tube_rack,0.2832511365413666,"[-223.0, -82.0, 1271.0]"
5ML_sorting_tube_rack,0.28259748220443726,"[-454.0, -466.0, 1754.0]"
5ML_centrifuge_tube,0.26556748151779175,"[222.0, 284.0, 926.0]"
refrigerator_close,0.9537332057952881,"[22.0, -410.0, 1458.0]"
centrifuge_close,0.9173928499221802,"[318.0, -217.0, 1260.0]"
blood_tube,0.8407882452011108,"[231.0, 196.0, 1039.0]"
dispensing_tube_rack,0.7789970636367798,"[-151.0, 93.0, 1143.0]"
10ML_centrifuge_tube,0.7170166969299316,"[-500.0, -191.0, 1406.0]"
blood_tube,0.6253255009651184,"[92.0, 119.0, 1133.0]"
10ML_centrifuge_tube,0.6225355267524719,"[-43.0, 57.0, 1051.0]"
10ML_centrifuge_tube,0.511655867099762,"[-583.0, -98.0, 1334.0]"
tube_rack_storage_cabinet,0.49749255180358887,"[-375.0, 52.0, 641.0]"
dispensing_tube_rack,0.471809983253479,"[-71.0, 111.0, 1040.0]"
10ML_centrifuge_tube,0.35197553038597107,"[95.0, 256.0, 969.0]"
5ML_sorting_tube_rack,0.3263154625892639,"[-455.0, -465.0, 1757.0]"
5ML_centrifuge_tube,0.3157283365726471,"[221.0, 283.0, 922.0]"
refrigerator_close,0.9560302495956421,"[23.0, -432.0, 1537.0]"
centrifuge_close,0.9147700667381287,"[317.0, -216.0, 1255.0]"
blood_tube,0.8299317955970764,"[233.0, 196.0, 1042.0]"
dispensing_tube_rack,0.8199262619018555,"[-151.0, 93.0, 1143.0]"
10ML_centrifuge_tube,0.6651111245155334,"[-495.0, -190.0, 1394.0]"
blood_tube,0.6333427429199219,"[91.0, 119.0, 1139.0]"
10ML_centrifuge_tube,0.5862010717391968,"[-43.0, 57.0, 1051.0]"
